This is a list of hyperbolic parameter cubes 
for the complex Henon map H_{a,c}: (x, y) |--> (x^2 + c - ay, x)

If a = 0.25 and c = (Re c, Im c) or \bar{c} = (Re c, -Im c) is 
in the following cubes, then the chain recurrent set of H_{a,c}
is uniformly hyperbolic.

[-8.0000000000, -7.7500000000] x [ 0.0000000000,  0.5000000000]
[-7.7500000000, -7.5000000000] x [ 0.0000000000,  0.5000000000]
[-8.0000000000, -7.7500000000] x [ 0.5000000000,  1.0000000000]
[-7.7500000000, -7.5000000000] x [ 0.5000000000,  1.0000000000]
[-7.5000000000, -7.2500000000] x [ 0.0000000000,  0.5000000000]
[-7.2500000000, -7.0000000000] x [ 0.0000000000,  0.5000000000]
[-7.5000000000, -7.2500000000] x [ 0.5000000000,  1.0000000000]
[-7.2500000000, -7.0000000000] x [ 0.5000000000,  1.0000000000]
[-8.0000000000, -7.7500000000] x [ 1.0000000000,  1.5000000000]
[-7.7500000000, -7.5000000000] x [ 1.0000000000,  1.5000000000]
[-8.0000000000, -7.7500000000] x [ 1.5000000000,  2.0000000000]
[-7.7500000000, -7.5000000000] x [ 1.5000000000,  2.0000000000]
[-7.5000000000, -7.2500000000] x [ 1.0000000000,  1.5000000000]
[-7.2500000000, -7.0000000000] x [ 1.0000000000,  1.5000000000]
[-7.5000000000, -7.2500000000] x [ 1.5000000000,  2.0000000000]
[-7.2500000000, -7.0000000000] x [ 1.5000000000,  2.0000000000]
[-7.0000000000, -6.7500000000] x [ 0.0000000000,  0.5000000000]
[-6.7500000000, -6.5000000000] x [ 0.0000000000,  0.5000000000]
[-7.0000000000, -6.7500000000] x [ 0.5000000000,  1.0000000000]
[-6.7500000000, -6.5000000000] x [ 0.5000000000,  1.0000000000]
[-6.5000000000, -6.2500000000] x [ 0.0000000000,  0.5000000000]
[-6.2500000000, -6.0000000000] x [ 0.0000000000,  0.5000000000]
[-6.5000000000, -6.2500000000] x [ 0.5000000000,  1.0000000000]
[-6.2500000000, -6.0000000000] x [ 0.5000000000,  1.0000000000]
[-7.0000000000, -6.7500000000] x [ 1.0000000000,  1.5000000000]
[-6.7500000000, -6.5000000000] x [ 1.0000000000,  1.5000000000]
[-7.0000000000, -6.7500000000] x [ 1.5000000000,  2.0000000000]
[-6.7500000000, -6.5000000000] x [ 1.5000000000,  2.0000000000]
[-6.5000000000, -6.2500000000] x [ 1.0000000000,  1.2500000000]
[-6.5000000000, -6.2500000000] x [ 1.2500000000,  1.5000000000]
[-6.2500000000, -6.0000000000] x [ 1.0000000000,  1.2500000000]
[-6.2500000000, -6.0000000000] x [ 1.2500000000,  1.5000000000]
[-6.5000000000, -6.2500000000] x [ 1.5000000000,  1.7500000000]
[-6.5000000000, -6.2500000000] x [ 1.7500000000,  2.0000000000]
[-6.2500000000, -6.0000000000] x [ 1.5000000000,  1.7500000000]
[-6.2500000000, -6.0000000000] x [ 1.7500000000,  2.0000000000]
[-8.0000000000, -7.7500000000] x [ 2.0000000000,  2.5000000000]
[-7.7500000000, -7.5000000000] x [ 2.0000000000,  2.5000000000]
[-8.0000000000, -7.7500000000] x [ 2.5000000000,  3.0000000000]
[-7.7500000000, -7.5000000000] x [ 2.5000000000,  2.7500000000]
[-7.7500000000, -7.5000000000] x [ 2.7500000000,  3.0000000000]
[-7.5000000000, -7.2500000000] x [ 2.0000000000,  2.5000000000]
[-7.2500000000, -7.0000000000] x [ 2.0000000000,  2.5000000000]
[-7.5000000000, -7.2500000000] x [ 2.5000000000,  2.7500000000]
[-7.5000000000, -7.2500000000] x [ 2.7500000000,  3.0000000000]
[-7.2500000000, -7.0000000000] x [ 2.5000000000,  2.7500000000]
[-7.2500000000, -7.0000000000] x [ 2.7500000000,  3.0000000000]
[-8.0000000000, -7.7500000000] x [ 3.0000000000,  3.5000000000]
[-7.7500000000, -7.5000000000] x [ 3.0000000000,  3.2500000000]
[-7.7500000000, -7.5000000000] x [ 3.2500000000,  3.5000000000]
[-8.0000000000, -7.7500000000] x [ 3.5000000000,  4.0000000000]
[-7.7500000000, -7.5000000000] x [ 3.5000000000,  3.7500000000]
[-7.7500000000, -7.5000000000] x [ 3.7500000000,  4.0000000000]
[-7.5000000000, -7.2500000000] x [ 3.0000000000,  3.2500000000]
[-7.5000000000, -7.2500000000] x [ 3.2500000000,  3.5000000000]
[-7.2500000000, -7.0000000000] x [ 3.0000000000,  3.2500000000]
[-7.2500000000, -7.0000000000] x [ 3.2500000000,  3.5000000000]
[-7.5000000000, -7.2500000000] x [ 3.5000000000,  3.7500000000]
[-7.5000000000, -7.2500000000] x [ 3.7500000000,  4.0000000000]
[-7.2500000000, -7.0000000000] x [ 3.5000000000,  3.7500000000]
[-7.2500000000, -7.0000000000] x [ 3.7500000000,  4.0000000000]
[-7.0000000000, -6.7500000000] x [ 2.0000000000,  2.2500000000]
[-7.0000000000, -6.7500000000] x [ 2.2500000000,  2.5000000000]
[-6.7500000000, -6.5000000000] x [ 2.0000000000,  2.2500000000]
[-6.7500000000, -6.5000000000] x [ 2.2500000000,  2.5000000000]
[-7.0000000000, -6.7500000000] x [ 2.5000000000,  2.7500000000]
[-7.0000000000, -6.7500000000] x [ 2.7500000000,  3.0000000000]
[-6.7500000000, -6.5000000000] x [ 2.5000000000,  2.7500000000]
[-6.7500000000, -6.5000000000] x [ 2.7500000000,  3.0000000000]
[-6.5000000000, -6.2500000000] x [ 2.0000000000,  2.2500000000]
[-6.5000000000, -6.3750000000] x [ 2.2500000000,  2.5000000000]
[-6.3750000000, -6.2500000000] x [ 2.2500000000,  2.5000000000]
[-6.2500000000, -6.0000000000] x [ 2.0000000000,  2.2500000000]
[-6.2500000000, -6.1250000000] x [ 2.2500000000,  2.5000000000]
[-6.1250000000, -6.0000000000] x [ 2.2500000000,  2.5000000000]
[-6.5000000000, -6.3750000000] x [ 2.5000000000,  2.7500000000]
[-6.3750000000, -6.2500000000] x [ 2.5000000000,  2.7500000000]
[-6.5000000000, -6.3750000000] x [ 2.7500000000,  3.0000000000]
[-6.3750000000, -6.2500000000] x [ 2.7500000000,  3.0000000000]
[-6.2500000000, -6.1250000000] x [ 2.5000000000,  2.7500000000]
[-6.1250000000, -6.0000000000] x [ 2.5000000000,  2.7500000000]
[-6.2500000000, -6.1250000000] x [ 2.7500000000,  3.0000000000]
[-6.1250000000, -6.0000000000] x [ 2.7500000000,  3.0000000000]
[-7.0000000000, -6.7500000000] x [ 3.0000000000,  3.2500000000]
[-7.0000000000, -6.8750000000] x [ 3.2500000000,  3.5000000000]
[-6.8750000000, -6.7500000000] x [ 3.2500000000,  3.5000000000]
[-6.7500000000, -6.5000000000] x [ 3.0000000000,  3.2500000000]
[-6.7500000000, -6.6250000000] x [ 3.2500000000,  3.5000000000]
[-6.6250000000, -6.5000000000] x [ 3.2500000000,  3.5000000000]
[-7.0000000000, -6.8750000000] x [ 3.5000000000,  3.7500000000]
[-6.8750000000, -6.7500000000] x [ 3.5000000000,  3.7500000000]
[-7.0000000000, -6.8750000000] x [ 3.7500000000,  4.0000000000]
[-6.8750000000, -6.7500000000] x [ 3.7500000000,  4.0000000000]
[-6.7500000000, -6.6250000000] x [ 3.5000000000,  3.7500000000]
[-6.6250000000, -6.5000000000] x [ 3.5000000000,  3.7500000000]
[-6.7500000000, -6.6250000000] x [ 3.7500000000,  4.0000000000]
[-6.6250000000, -6.5000000000] x [ 3.7500000000,  4.0000000000]
[-6.5000000000, -6.3750000000] x [ 3.0000000000,  3.2500000000]
[-6.3750000000, -6.2500000000] x [ 3.0000000000,  3.2500000000]
[-6.5000000000, -6.3750000000] x [ 3.2500000000,  3.5000000000]
[-6.3750000000, -6.2500000000] x [ 3.2500000000,  3.5000000000]
[-6.2500000000, -6.1250000000] x [ 3.0000000000,  3.2500000000]
[-6.1250000000, -6.0000000000] x [ 3.0000000000,  3.2500000000]
[-6.2500000000, -6.1250000000] x [ 3.2500000000,  3.5000000000]
[-6.1250000000, -6.0000000000] x [ 3.2500000000,  3.5000000000]
[-6.5000000000, -6.3750000000] x [ 3.5000000000,  3.7500000000]
[-6.3750000000, -6.2500000000] x [ 3.5000000000,  3.7500000000]
[-6.5000000000, -6.3750000000] x [ 3.7500000000,  4.0000000000]
[-6.3750000000, -6.2500000000] x [ 3.7500000000,  4.0000000000]
[-6.2500000000, -6.1250000000] x [ 3.5000000000,  3.7500000000]
[-6.1250000000, -6.0000000000] x [ 3.5000000000,  3.7500000000]
[-6.2500000000, -6.1250000000] x [ 3.7500000000,  4.0000000000]
[-6.1250000000, -6.0000000000] x [ 3.7500000000,  4.0000000000]
[-6.0000000000, -5.7500000000] x [ 0.0000000000,  0.5000000000]
[-5.7500000000, -5.5000000000] x [ 0.0000000000,  0.2500000000]
[-5.7500000000, -5.5000000000] x [ 0.2500000000,  0.5000000000]
[-6.0000000000, -5.7500000000] x [ 0.5000000000,  1.0000000000]
[-5.7500000000, -5.5000000000] x [ 0.5000000000,  0.7500000000]
[-5.7500000000, -5.5000000000] x [ 0.7500000000,  1.0000000000]
[-5.5000000000, -5.2500000000] x [ 0.0000000000,  0.2500000000]
[-5.5000000000, -5.2500000000] x [ 0.2500000000,  0.5000000000]
[-5.2500000000, -5.0000000000] x [ 0.0000000000,  0.2500000000]
[-5.2500000000, -5.0000000000] x [ 0.2500000000,  0.5000000000]
[-5.5000000000, -5.2500000000] x [ 0.5000000000,  0.7500000000]
[-5.5000000000, -5.2500000000] x [ 0.7500000000,  1.0000000000]
[-5.2500000000, -5.0000000000] x [ 0.5000000000,  0.7500000000]
[-5.2500000000, -5.0000000000] x [ 0.7500000000,  1.0000000000]
[-6.0000000000, -5.7500000000] x [ 1.0000000000,  1.2500000000]
[-6.0000000000, -5.7500000000] x [ 1.2500000000,  1.5000000000]
[-5.7500000000, -5.5000000000] x [ 1.0000000000,  1.2500000000]
[-5.7500000000, -5.5000000000] x [ 1.2500000000,  1.5000000000]
[-6.0000000000, -5.7500000000] x [ 1.5000000000,  1.7500000000]
[-6.0000000000, -5.7500000000] x [ 1.7500000000,  2.0000000000]
[-5.7500000000, -5.5000000000] x [ 1.5000000000,  1.7500000000]
[-5.7500000000, -5.6250000000] x [ 1.7500000000,  2.0000000000]
[-5.6250000000, -5.5000000000] x [ 1.7500000000,  2.0000000000]
[-5.5000000000, -5.2500000000] x [ 1.0000000000,  1.2500000000]
[-5.5000000000, -5.3750000000] x [ 1.2500000000,  1.5000000000]
[-5.3750000000, -5.2500000000] x [ 1.2500000000,  1.5000000000]
[-5.2500000000, -5.1250000000] x [ 1.0000000000,  1.2500000000]
[-5.1250000000, -5.0000000000] x [ 1.0000000000,  1.2500000000]
[-5.2500000000, -5.1250000000] x [ 1.2500000000,  1.5000000000]
[-5.1250000000, -5.0000000000] x [ 1.2500000000,  1.5000000000]
[-5.5000000000, -5.3750000000] x [ 1.5000000000,  1.7500000000]
[-5.3750000000, -5.2500000000] x [ 1.5000000000,  1.7500000000]
[-5.5000000000, -5.3750000000] x [ 1.7500000000,  2.0000000000]
[-5.3750000000, -5.2500000000] x [ 1.7500000000,  2.0000000000]
[-5.2500000000, -5.1250000000] x [ 1.5000000000,  1.7500000000]
[-5.1250000000, -5.0000000000] x [ 1.5000000000,  1.7500000000]
[-5.2500000000, -5.1250000000] x [ 1.7500000000,  2.0000000000]
[-5.1250000000, -5.0000000000] x [ 1.7500000000,  2.0000000000]
[-5.0000000000, -4.7500000000] x [ 0.0000000000,  0.2500000000]
[-5.0000000000, -4.7500000000] x [ 0.2500000000,  0.5000000000]
[-4.7500000000, -4.5000000000] x [ 0.0000000000,  0.2500000000]
[-4.7500000000, -4.5000000000] x [ 0.2500000000,  0.5000000000]
[-5.0000000000, -4.7500000000] x [ 0.5000000000,  0.7500000000]
[-5.0000000000, -4.8750000000] x [ 0.7500000000,  1.0000000000]
[-4.8750000000, -4.7500000000] x [ 0.7500000000,  1.0000000000]
[-4.7500000000, -4.6250000000] x [ 0.5000000000,  0.7500000000]
[-4.6250000000, -4.5000000000] x [ 0.5000000000,  0.7500000000]
[-4.7500000000, -4.6250000000] x [ 0.7500000000,  1.0000000000]
[-4.6250000000, -4.5000000000] x [ 0.7500000000,  1.0000000000]
[-4.5000000000, -4.3750000000] x [ 0.0000000000,  0.2500000000]
[-4.3750000000, -4.2500000000] x [ 0.0000000000,  0.2500000000]
[-4.5000000000, -4.3750000000] x [ 0.2500000000,  0.5000000000]
[-4.3750000000, -4.2500000000] x [ 0.2500000000,  0.5000000000]
[-4.2500000000, -4.1250000000] x [ 0.0000000000,  0.2500000000]
[-4.1250000000, -4.0000000000] x [ 0.0000000000,  0.2500000000]
[-4.2500000000, -4.1250000000] x [ 0.2500000000,  0.5000000000]
[-4.1250000000, -4.0000000000] x [ 0.2500000000,  0.5000000000]
[-4.5000000000, -4.3750000000] x [ 0.5000000000,  0.7500000000]
[-4.3750000000, -4.2500000000] x [ 0.5000000000,  0.7500000000]
[-4.5000000000, -4.3750000000] x [ 0.7500000000,  1.0000000000]
[-4.3750000000, -4.2500000000] x [ 0.7500000000,  1.0000000000]
[-4.2500000000, -4.1250000000] x [ 0.5000000000,  0.7500000000]
[-4.1250000000, -4.0000000000] x [ 0.5000000000,  0.7500000000]
[-4.2500000000, -4.1250000000] x [ 0.7500000000,  1.0000000000]
[-4.1250000000, -4.0000000000] x [ 0.7500000000,  1.0000000000]
[-5.0000000000, -4.8750000000] x [ 1.0000000000,  1.2500000000]
[-4.8750000000, -4.7500000000] x [ 1.0000000000,  1.2500000000]
[-5.0000000000, -4.8750000000] x [ 1.2500000000,  1.5000000000]
[-4.8750000000, -4.7500000000] x [ 1.2500000000,  1.5000000000]
[-4.7500000000, -4.6250000000] x [ 1.0000000000,  1.2500000000]
[-4.6250000000, -4.5000000000] x [ 1.0000000000,  1.2500000000]
[-4.7500000000, -4.6250000000] x [ 1.2500000000,  1.5000000000]
[-4.6250000000, -4.5000000000] x [ 1.2500000000,  1.5000000000]
[-5.0000000000, -4.8750000000] x [ 1.5000000000,  1.7500000000]
[-4.8750000000, -4.7500000000] x [ 1.5000000000,  1.7500000000]
[-5.0000000000, -4.8750000000] x [ 1.7500000000,  2.0000000000]
[-4.8750000000, -4.7500000000] x [ 1.7500000000,  2.0000000000]
[-4.7500000000, -4.6250000000] x [ 1.5000000000,  1.7500000000]
[-4.6250000000, -4.5000000000] x [ 1.5000000000,  1.7500000000]
[-4.7500000000, -4.6250000000] x [ 1.7500000000,  2.0000000000]
[-4.6250000000, -4.5000000000] x [ 1.7500000000,  2.0000000000]
[-4.5000000000, -4.3750000000] x [ 1.0000000000,  1.2500000000]
[-4.3750000000, -4.2500000000] x [ 1.0000000000,  1.2500000000]
[-4.5000000000, -4.3750000000] x [ 1.2500000000,  1.5000000000]
[-4.3750000000, -4.2500000000] x [ 1.2500000000,  1.5000000000]
[-4.2500000000, -4.1250000000] x [ 1.0000000000,  1.2500000000]
[-4.1250000000, -4.0000000000] x [ 1.0000000000,  1.2500000000]
[-4.2500000000, -4.1250000000] x [ 1.2500000000,  1.5000000000]
